charge
6.43E-19
1.11E-18
9.60E-19
3.2E-19
3.25E-19
9.76E-19
3.3E-19
3.3E-19
1.61E-19
9.91E-19
1.77E-19
1.29E-18
7.78E-19
1.32E-18
5.29E-19
1.58E-19
6.21E-19
9.74E-19
4.76E-19
4.74E-19
4.86E-19
